,Product Name,Brand,Price,Rating,Offer,Review Count,Suction Capacity,Size,Offer_clean,Suction_clean,Rating_Performance,suction_bins
228,HAVELLS GHKCNBMK0,HAVELLS,18418,4.1,67% off,0.0,1200 CMH,60.0,67.0,1200.0,Excellent,1000 - 1500 CMH
229,FABER HOOD,FABER,16990,4.2,46% off,21.0,1200 CMH,58.0,46.0,1200.0,Excellent,1000 - 1500 CMH
230,Ventair Fawn,Ventair,10970,4.1,51% off,3.0,1500 CMH,60.0,51.0,1500.0,Excellent,1000 - 1500 CMH
231,FABER Hood,FABER,3578,3.7,71% off,139.0,1350 CMH,60.0,71.0,1350.0,Good,1000 - 1500 CMH
232,RUWA PEARL,RUWA,10490,4.1,73% off,3.0,1100 CMH,60.0,73.0,1100.0,Excellent,1000 - 1500 CMH
233,Beyond Appliances,Beyond,3569,4.1,58% off,25.0,1200 CMH,60.0,58.0,1200.0,Excellent,1000 - 1500 CMH
234,Glen Soundpro,Glen,8699,4.6,38% off,61.0,1408 CMH,60.0,38.0,1408.0,Excellent,1000 - 1500 CMH
235,RUWA VIVA,RUWA,7399,4.2,69% off,594.0,800 CMH,60.0,69.0,800.0,Excellent,500 - 1000 CMH
236,Kaff KEC60A,Kaff,13999,3.7,36% off,4.0,1500 CMH,60.0,36.0,1500.0,Good,1000 - 1500 CMH
237,Glen 6063AC60,Glen,18090,4.1,64% off,17.0,1200 CMH,60.0,64.0,1200.0,Excellent,1000 - 1500 CMH
238,Sunflame Bella,Sunflame,4661,4.4,67% off,4.0,1100 CMH,60.0,67.0,1100.0,Excellent,1000 - 1500 CMH
239,Fabiano Cosmo,Fabiano,12999,4.1,47% off,46.0,1000 CMH,60.0,47.0,1000.0,Excellent,500 - 1000 CMH
240,Uplift Paradise,Uplift,10809,4.1,45% off,168.0,1550 CMH,90.0,45.0,1550.0,Excellent,1500 -2000 CHM
241,Hindware Smart,Hindware,6898,3.9,67% off,46.0,1150 CMH,60.0,67.0,1150.0,Good,1000 - 1500 CMH
242,Amplesta Sereno,Amplesta,3998,3.8,63% off,206.0,1350 CMH,90.0,63.0,1350.0,Good,1000 - 1500 CMH
243,Elica FL,Elica,17480,4.5,45% off,52.0,1200 CMH,90.0,45.0,1200.0,Excellent,1000 - 1500 CMH
244,Kaff KEC90A,Kaff,13799,4.1,64% off,17.0,1450 CMH,90.0,64.0,1450.0,Excellent,1000 - 1500 CMH
245,Amplesta Sereno,Amplesta,17490,4.0,38% off,46.0,1200 CMH,60.0,38.0,1200.0,Good,1000 - 1500 CMH
246,FABER Hood,FABER,7490,3.1,65% off,139.0,1250 CMH,90.0,65.0,1250.0,Good,1000 - 1500 CMH
247,Crompton CHD,Crompton,9999,4.0,48% off,43.0,1417 CMH,6.0,48.0,1417.0,Good,1000 - 1500 CMH
248,FABER HOOD,FABER,10339,3.6,67% off,41.0,1000 CMH,60.0,67.0,1000.0,Good,500 - 1000 CMH
249,BLOWHOT 60,BLOWHOT,8177,3.8,43% off,32.0,1500 CMH,60.0,43.0,1500.0,Good,1000 - 1500 CMH
250,Hindware Smart,Hindware,10990,4.1,56% off,34.0,1350 CMH,60.0,56.0,1350.0,Excellent,1000 - 1500 CMH
251,FABER Hood,FABER,8177,4.3,30% off,26.0,1350 CMH,60.0,30.0,1350.0,Excellent,1000 - 1500 CMH
252,FABER HOOD,FABER,4661,4.4,67% off,4.0,1350 CMH,90.0,67.0,1350.0,Excellent,1000 - 1500 CMH
253,RUWA GARNET,RUWA,13799,4.2,47% off,50.0,800 CMH,60.0,47.0,800.0,Excellent,500 - 1000 CMH
254,Amplesta Stella,Amplesta,18418,4.1,54% off,2.0,1350 CMH,60.0,54.0,1350.0,Excellent,1000 - 1500 CMH
255,Amplesta EcoFlow,Amplesta,17490,4.2,36% off,9.0,1250 CMH,60.0,36.0,1250.0,Excellent,1000 - 1500 CMH
256,ZENPURE Nadia,ZENPURE,3578,4.5,35% off,19.0,1500 CMH,75.0,35.0,1500.0,Excellent,1000 - 1500 CMH
257,Elica SPT,Elica,7399,5.0,67% off,202.0,1600 CMH,75.0,67.0,1600.0,Excellent,1500 -2000 CHM
258,Hindware Marcella,Hindware,17499,4.2,71% off,1.0,1700 CMH,90.0,71.0,1700.0,Excellent,1500 -2000 CHM
